epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,11601.3,1.12867,0.66973,1.14084,0.86887,0.78476,0.87385,0.59006,1.08515,0.59059,1.11512,0.008218,0.008218,0.008218
29,11888.4,1.13168,0.66752,1.1429,0.86956,0.784,0.87364,0.58994,1.08573,0.58422,1.11489,0.008152,0.008152,0.008152
30,12312.6,1.12548,0.66372,1.13818,0.8726,0.78407,0.87487,0.5914,1.08482,0.58128,1.11282,0.008086,0.008086,0.008086
31,12617.3,1.12471,0.6631,1.13919,0.87016,0.78746,0.87568,0.59224,1.08016,0.57903,1.11102,0.00802,0.00802,0.00802
32,12897.6,1.12413,0.66127,1.13864,0.87062,0.78912,0.87605,0.59381,1.07901,0.57676,1.11141,0.007954,0.007954,0.007954
33,13200.6,1.11832,0.65779,1.13395,0.86924,0.7889,0.87664,0.59501,1.07655,0.57651,1.11177,0.007888,0.007888,0.007888
34,13874.3,1.11608,0.65279,1.13371,0.87244,0.78925,0.877,0.59568,1.07582,0.57136,1.11027,0.007822,0.007822,0.007822
35,14237,1.11389,0.65072,1.1315,0.87425,0.79026,0.87988,0.59761,1.07375,0.56869,1.1069,0.007756,0.007756,0.007756
36,15166.4,1.10925,0.64996,1.12896,0.87182,0.79075,0.87811,0.59774,1.06988,0.5681,1.10287,0.00769,0.00769,0.00769
37,15494.3,1.10352,0.64594,1.1281,0.87352,0.79337,0.88052,0.60036,1.06813,0.56483,1.10413,0.007624,0.007624,0.007624
38,15775.4,1.10817,0.64659,1.13014,0.87264,0.79434,0.88029,0.60083,1.0676,0.56239,1.10448,0.007558,0.007558,0.007558
39,16053.8,1.09952,0.64162,1.1256,0.87573,0.79333,0.88046,0.60143,1.06607,0.55994,1.10327,0.007492,0.007492,0.007492
40,16329.2,1.10253,0.64111,1.12643,0.87608,0.7944,0.88121,0.60249,1.06396,0.55745,1.10295,0.007426,0.007426,0.007426
41,16611,1.09951,0.64009,1.12365,0.8758,0.79494,0.88156,0.60279,1.06361,0.55625,1.10169,0.00736,0.00736,0.00736
42,16857.9,1.09499,0.63735,1.12152,0.87363,0.79719,0.88208,0.60394,1.06327,0.55403,1.10056,0.007294,0.007294,0.007294
43,17214.8,1.09577,0.63779,1.12211,0.87588,0.79675,0.88248,0.60418,1.06276,0.55333,1.10057,0.007228,0.007228,0.007228
44,17484.3,1.09056,0.6336,1.11963,0.87296,0.79688,0.88298,0.60499,1.06109,0.55169,1.09847,0.007162,0.007162,0.007162
45,17788.8,1.0902,0.63381,1.11751,0.87314,0.79918,0.88339,0.60608,1.05918,0.55113,1.09777,0.007096,0.007096,0.007096
46,18072.1,1.08893,0.63003,1.11703,0.8722,0.80057,0.88383,0.60649,1.05857,0.54963,1.09838,0.00703,0.00703,0.00703
47,18438.9,1.08903,0.62865,1.11923,0.87387,0.80025,0.88456,0.60724,1.05663,0.54803,1.09807,0.006964,0.006964,0.006964
48,18724.9,1.08678,0.62712,1.11695,0.87484,0.80027,0.88496,0.60745,1.05653,0.54704,1.09782,0.006898,0.006898,0.006898
49,19000,1.08628,0.62556,1.11509,0.87603,0.80028,0.88539,0.60829,1.05564,0.54525,1.09743,0.006832,0.006832,0.006832
50,19784.8,1.07558,0.62449,1.11206,0.87485,0.80033,0.8854,0.60856,1.0553,0.54342,1.09765,0.006766,0.006766,0.006766
51,20049.3,1.07851,0.62073,1.11128,0.87675,0.80037,0.88561,0.60896,1.05447,0.54196,1.09622,0.0067,0.0067,0.0067
52,20708.6,1.07729,0.62246,1.11018,0.87581,0.80181,0.88633,0.60963,1.0532,0.54097,1.09521,0.006634,0.006634,0.006634
53,21028.6,1.0732,0.61967,1.11082,0.87749,0.80081,0.88656,0.61008,1.0524,0.54011,1.09506,0.006568,0.006568,0.006568
54,21332.6,1.07666,0.62083,1.11014,0.87685,0.80205,0.88648,0.61061,1.05165,0.53922,1.09525,0.006502,0.006502,0.006502
55,21634.2,1.07418,0.6173,1.10708,0.87681,0.80274,0.88669,0.61086,1.05124,0.53834,1.09456,0.006436,0.006436,0.006436
56,21897.4,1.07138,0.61631,1.10687,0.87671,0.80312,0.88711,0.61142,1.05088,0.53756,1.09435,0.00637,0.00637,0.00637
57,22171,1.07189,0.61489,1.10848,0.87606,0.80418,0.8874,0.61182,1.05042,0.53689,1.0944,0.006304,0.006304,0.006304
58,22702.9,1.06381,0.612,1.10531,0.87724,0.803,0.88746,0.61191,1.04992,0.53598,1.09442,0.006238,0.006238,0.006238
59,23049.8,1.06623,0.61143,1.1044,0.87645,0.80403,0.88745,0.61233,1.04915,0.53537,1.09432,0.006172,0.006172,0.006172
60,23322.2,1.06276,0.60849,1.10476,0.87592,0.80405,0.88739,0.61234,1.04856,0.53475,1.09417,0.006106,0.006106,0.006106
61,23602.7,1.06347,0.60911,1.1046,0.87692,0.8034,0.88791,0.61275,1.04849,0.5339,1.09435,0.00604,0.00604,0.00604
62,24174.9,1.05957,0.6086,1.10383,0.87714,0.80367,0.88797,0.61308,1.04799,0.53358,1.09404,0.005974,0.005974,0.005974
63,24445.3,1.06047,0.6069,1.10144,0.87541,0.80564,0.88814,0.61329,1.04738,0.53282,1.09361,0.005908,0.005908,0.005908
64,24802.1,1.05683,0.60385,1.09881,0.87531,0.80598,0.8882,0.61351,1.0472,0.5322,1.09329,0.005842,0.005842,0.005842
65,25072.6,1.05798,0.60266,1.09778,0.87532,0.80603,0.88824,0.61362,1.04701,0.53179,1.09295,0.005776,0.005776,0.005776
66,25524.4,1.05685,0.60159,1.09892,0.87544,0.80606,0.88816,0.61376,1.0469,0.53117,1.09295,0.00571,0.00571,0.00571
67,25813.3,1.04863,0.59861,1.0944,0.87677,0.8051,0.8882,0.61389,1.04667,0.53066,1.09279,0.005644,0.005644,0.005644
68,26218.1,1.05074,0.59719,1.09687,0.8767,0.80576,0.88862,0.61419,1.04644,0.53027,1.09277,0.005578,0.005578,0.005578
69,26492.1,1.05006,0.59671,1.09643,0.87658,0.80553,0.88871,0.61436,1.04631,0.52983,1.09269,0.005512,0.005512,0.005512
70,26800.3,1.04644,0.59379,1.09293,0.87577,0.80602,0.88885,0.61457,1.04612,0.5294,1.09268,0.005446,0.005446,0.005446
71,27102.1,1.04907,0.59458,1.09411,0.87627,0.80629,0.88901,0.6148,1.04596,0.52895,1.09261,0.00538,0.00538,0.00538
72,27387.5,1.04361,0.59315,1.09271,0.87629,0.80633,0.8892,0.61481,1.04584,0.52837,1.09262,0.005314,0.005314,0.005314
73,27658.4,1.03808,0.59018,1.09105,0.87614,0.80628,0.88924,0.61486,1.04564,0.52789,1.0927,0.005248,0.005248,0.005248
74,28166.1,1.0382,0.58878,1.09045,0.87568,0.80685,0.88914,0.61505,1.04556,0.52751,1.09278,0.005182,0.005182,0.005182
75,28471.1,1.03765,0.58921,1.09037,0.87574,0.80694,0.88922,0.61512,1.04546,0.52719,1.0928,0.005116,0.005116,0.005116
76,28972.6,1.03708,0.58496,1.08784,0.87615,0.80643,0.8892,0.61523,1.04534,0.52687,1.09268,0.00505,0.00505,0.00505
77,29324.7,1.03601,0.587,1.08696,0.87634,0.80645,0.88927,0.61528,1.04519,0.52658,1.09258,0.004984,0.004984,0.004984
78,29775,1.03205,0.58282,1.08619,0.87676,0.80639,0.88933,0.61547,1.04499,0.52609,1.09246,0.004918,0.004918,0.004918
79,30086.6,1.03472,0.58303,1.0843,0.87698,0.80611,0.88952,0.61557,1.04484,0.52578,1.0924,0.004852,0.004852,0.004852
80,30402.1,1.03067,0.58116,1.08455,0.8768,0.80669,0.88969,0.61562,1.04469,0.52559,1.09239,0.004786,0.004786,0.004786
81,30690.8,1.03157,0.58191,1.08533,0.87751,0.80669,0.88994,0.61585,1.04464,0.52532,1.09244,0.00472,0.00472,0.00472
82,31526.2,1.0269,0.58046,1.08302,0.87731,0.80695,0.88992,0.61589,1.0445,0.52502,1.09237,0.004654,0.004654,0.004654
83,31875.1,1.02578,0.57872,1.08244,0.87695,0.80713,0.88995,0.61599,1.04445,0.52468,1.09238,0.004588,0.004588,0.004588
84,32218.1,1.02517,0.57776,1.08131,0.87767,0.80669,0.8899,0.61606,1.04442,0.52433,1.09231,0.004522,0.004522,0.004522
85,32495.1,1.02008,0.57374,1.08,0.87741,0.8071,0.89001,0.61614,1.04436,0.52399,1.09231,0.004456,0.004456,0.004456
86,32778.9,1.0217,0.57372,1.07859,0.87796,0.80651,0.89002,0.61623,1.04429,0.52369,1.09228,0.00439,0.00439,0.00439
87,33099.2,1.02,0.57341,1.07774,0.87784,0.80714,0.89013,0.61643,1.04429,0.52335,1.09223,0.004324,0.004324,0.004324
88,33423.6,1.01659,0.57002,1.0777,0.87805,0.80694,0.89024,0.61655,1.04421,0.52302,1.09212,0.004258,0.004258,0.004258
89,33670.6,1.01456,0.56937,1.07824,0.87782,0.80723,0.89025,0.61661,1.04418,0.5227,1.09208,0.004192,0.004192,0.004192
90,34242.2,1.01341,0.5696,1.07525,0.87805,0.80685,0.89027,0.61675,1.04412,0.52248,1.09209,0.004126,0.004126,0.004126
91,34513,1.01137,0.566,1.07315,0.87774,0.80705,0.89038,0.6168,1.04415,0.52213,1.09198,0.00406,0.00406,0.00406
92,35138.1,1.00757,0.56535,1.07213,0.87847,0.80665,0.89044,0.61687,1.04429,0.5219,1.09198,0.003994,0.003994,0.003994
93,35473.5,1.01055,0.56479,1.07371,0.87867,0.80662,0.89046,0.61705,1.04431,0.52163,1.09208,0.003928,0.003928,0.003928
94,35732.7,1.00676,0.56429,1.07187,0.87806,0.80702,0.89053,0.61709,1.04437,0.52139,1.09209,0.003862,0.003862,0.003862
95,35999.6,1.00585,0.56103,1.06943,0.8781,0.80722,0.89064,0.61729,1.04439,0.5211,1.0921,0.003796,0.003796,0.003796
96,36864.4,1.00301,0.56118,1.07196,0.87781,0.8076,0.89056,0.61725,1.04447,0.52079,1.09211,0.00373,0.00373,0.00373
97,37158,1.00372,0.55962,1.06743,0.87798,0.80748,0.89064,0.61734,1.04452,0.52042,1.09213,0.003664,0.003664,0.003664
98,37721.6,0.99738,0.5561,1.06643,0.87635,0.80884,0.89069,0.61742,1.0445,0.52021,1.09211,0.003598,0.003598,0.003598
99,38080.2,0.99746,0.55538,1.06602,0.87631,0.80867,0.89068,0.61753,1.04448,0.51994,1.09216,0.003532,0.003532,0.003532
100,38448.2,0.99552,0.55299,1.06657,0.8765,0.80857,0.89062,0.61765,1.04446,0.51971,1.09215,0.003466,0.003466,0.003466
101,38777.6,0.99421,0.55334,1.06388,0.87622,0.80893,0.89081,0.61773,1.04447,0.51963,1.09216,0.0034,0.0034,0.0034
102,39121.1,0.99124,0.55311,1.064,0.87621,0.80896,0.89078,0.61771,1.0445,0.51932,1.09218,0.003334,0.003334,0.003334
103,39509.1,0.98984,0.55038,1.06375,0.87643,0.80901,0.89091,0.6178,1.04449,0.51891,1.0922,0.003268,0.003268,0.003268
104,40398,0.98641,0.54928,1.06057,0.8761,0.80941,0.89091,0.61784,1.0445,0.51872,1.0922,0.003202,0.003202,0.003202
105,40727.6,0.98419,0.54678,1.0601,0.87659,0.80936,0.891,0.61796,1.04459,0.51842,1.09212,0.003136,0.003136,0.003136
106,41188.3,0.98145,0.54269,1.05746,0.87674,0.80894,0.89084,0.61802,1.04459,0.51811,1.09211,0.00307,0.00307,0.00307
107,41478.3,0.98089,0.54497,1.05807,0.87606,0.80961,0.89098,0.61811,1.04463,0.5178,1.09205,0.003004,0.003004,0.003004
108,41771.6,0.97738,0.5424,1.0558,0.87731,0.80914,0.89123,0.61832,1.0447,0.51755,1.09207,0.002938,0.002938,0.002938
109,42069.5,0.97622,0.54118,1.05288,0.87734,0.80905,0.89115,0.6183,1.04468,0.51725,1.09194,0.002872,0.002872,0.002872
110,42525.6,0.97246,0.54063,1.05582,0.8777,0.80895,0.89119,0.61839,1.04472,0.517,1.09193,0.002806,0.002806,0.002806
111,42844.7,0.96992,0.53656,1.05314,0.87714,0.80963,0.8913,0.61837,1.04482,0.51668,1.09191,0.00274,0.00274,0.00274
112,44075.2,0.97006,0.53546,1.0536,0.87787,0.80886,0.89129,0.61848,1.04493,0.51642,1.09198,0.002674,0.002674,0.002674
113,44601.3,0.96733,0.53409,1.05032,0.87825,0.80878,0.89141,0.61845,1.04504,0.51607,1.09199,0.002608,0.002608,0.002608
114,45042.6,0.96771,0.53431,1.04815,0.87832,0.80877,0.89152,0.61859,1.04511,0.51584,1.09195,0.002542,0.002542,0.002542
115,45350.6,0.969,0.53502,1.04904,0.87766,0.80955,0.89156,0.61867,1.04516,0.51553,1.09185,0.002476,0.002476,0.002476
116,45932.1,0.96256,0.53108,1.04826,0.8778,0.8097,0.89156,0.61868,1.04529,0.51526,1.09182,0.00241,0.00241,0.00241
117,46191.7,0.96249,0.5319,1.04639,0.87905,0.8088,0.89164,0.61871,1.04543,0.51488,1.09187,0.002344,0.002344,0.002344
118,46487.5,0.95626,0.52622,1.04337,0.87858,0.809,0.89155,0.6186,1.04561,0.51469,1.09195,0.002278,0.002278,0.002278
119,46941.5,0.95998,0.52808,1.04551,0.87896,0.80881,0.89156,0.61861,1.04577,0.51451,1.09198,0.002212,0.002212,0.002212
120,47200.4,0.95608,0.52664,1.04535,0.87919,0.80857,0.89156,0.61877,1.04586,0.51417,1.09204,0.002146,0.002146,0.002146
121,47529.4,0.95525,0.52538,1.04371,0.87935,0.80875,0.89167,0.61886,1.0459,0.51389,1.09209,0.00208,0.00208,0.00208
122,48143.8,0.94966,0.52068,1.04196,0.87954,0.80847,0.89165,0.6189,1.04602,0.51349,1.09213,0.002014,0.002014,0.002014
123,48436.3,0.94983,0.52107,1.0417,0.8801,0.80841,0.8917,0.619,1.04611,0.51302,1.09217,0.001948,0.001948,0.001948
124,48745,0.94633,0.52004,1.03903,0.87951,0.80895,0.89181,0.61899,1.0463,0.51276,1.09221,0.001882,0.001882,0.001882
125,49014.4,0.94566,0.51888,1.03838,0.87954,0.80913,0.89183,0.61915,1.04639,0.51252,1.09226,0.001816,0.001816,0.001816
126,49416.1,0.93894,0.51418,1.03475,0.87964,0.80928,0.89187,0.61917,1.04651,0.51226,1.09235,0.00175,0.00175,0.00175
127,49810.6,0.93945,0.51468,1.035,0.87969,0.80928,0.8918,0.61928,1.04663,0.512,1.09233,0.001684,0.001684,0.001684
128,50084,0.93915,0.5126,1.03538,0.87954,0.80905,0.89177,0.61923,1.0467,0.5117,1.09234,0.001618,0.001618,0.001618
129,50326.3,0.93265,0.51072,1.02991,0.87947,0.80918,0.89174,0.61925,1.04679,0.51133,1.09235,0.001552,0.001552,0.001552
130,50631.6,0.93374,0.50968,1.03189,0.87927,0.8093,0.89171,0.61937,1.04702,0.51108,1.09239,0.001486,0.001486,0.001486
131,50995.6,0.93213,0.50936,1.03209,0.87947,0.8091,0.89169,0.61945,1.04712,0.51073,1.09242,0.00142,0.00142,0.00142
132,51278.3,0.92654,0.5077,1.0301,0.87965,0.80901,0.89183,0.61952,1.04729,0.51053,1.09252,0.001354,0.001354,0.001354
133,51566,0.92493,0.50475,1.02868,0.87955,0.80909,0.8918,0.6195,1.04748,0.51027,1.09259,0.001288,0.001288,0.001288
134,52091.4,0.92883,0.50663,1.02825,0.87982,0.80894,0.89186,0.61951,1.0476,0.51008,1.09262,0.001222,0.001222,0.001222
135,52365.3,0.92286,0.5032,1.0282,0.88009,0.8088,0.89184,0.61954,1.04777,0.50989,1.09271,0.001156,0.001156,0.001156
136,52640.1,0.92123,0.5026,1.02707,0.88017,0.80874,0.89187,0.61942,1.04797,0.50972,1.09288,0.00109,0.00109,0.00109
137,52885.9,0.91525,0.50043,1.02501,0.88051,0.80833,0.89188,0.6195,1.04816,0.50949,1.09302,0.001024,0.001024,0.001024
138,53224.4,0.91475,0.49882,1.0236,0.88062,0.80819,0.89182,0.61936,1.04837,0.50936,1.09314,0.000958,0.000958,0.000958
139,53573.5,0.91323,0.4985,1.02422,0.88109,0.80772,0.89184,0.61935,1.04864,0.50919,1.09333,0.000892,0.000892,0.000892
140,54017,0.91195,0.49633,1.02377,0.8807,0.80841,0.89187,0.61934,1.04882,0.509,1.09353,0.000826,0.000826,0.000826
141,54306.3,0.8863,0.45632,1.00168,0.88041,0.80876,0.892,0.61942,1.04892,0.50874,1.09365,0.00076,0.00076,0.00076
142,54544.1,0.87736,0.45184,0.99511,0.88069,0.8086,0.89195,0.6194,1.04921,0.50856,1.09385,0.000694,0.000694,0.000694
143,54781.3,0.87176,0.44876,0.99488,0.88125,0.80794,0.89193,0.61933,1.04942,0.50837,1.09409,0.000628,0.000628,0.000628
144,55030.8,0.86976,0.44778,0.99265,0.88119,0.80825,0.8919,0.61929,1.04968,0.5082,1.09437,0.000562,0.000562,0.000562
145,55277.2,0.86438,0.44426,0.98874,0.88134,0.80787,0.89178,0.6192,1.04984,0.50806,1.09457,0.000496,0.000496,0.000496
146,55505.1,0.86232,0.44318,0.9883,0.88161,0.80789,0.89183,0.61915,1.05026,0.508,1.09493,0.00043,0.00043,0.00043
147,55820.1,0.85928,0.44044,0.98756,0.88125,0.80794,0.89169,0.61921,1.05055,0.5079,1.09518,0.000364,0.000364,0.000364
148,56069.4,0.85777,0.44016,0.9865,0.88021,0.80849,0.89172,0.61914,1.0508,0.50791,1.09546,0.000298,0.000298,0.000298
149,56340.2,0.85309,0.43682,0.98519,0.88025,0.80847,0.8918,0.61911,1.05098,0.50768,1.09578,0.000232,0.000232,0.000232
150,56569.3,0.85181,0.43624,0.98297,0.88108,0.80787,0.89181,0.61911,1.05125,0.50758,1.09604,0.000166,0.000166,0.000166
