epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.581,1.25283,0.82757,1.19717,0.84863,0.73885,0.83932,0.53819,1.16946,0.68937,1.14175,0.00332978,0.00332978,0.00332978
2,1053.8,1.24787,0.77721,1.18994,0.83399,0.72711,0.82597,0.50883,1.25199,0.76953,1.20261,0.00661914,0.00661914,0.00661914
3,1365.51,1.31879,0.8429,1.2394,0.80281,0.68493,0.78193,0.4682,1.30041,0.84292,1.24639,0.00986449,0.00986449,0.00986449
4,1632.79,1.35301,0.87637,1.27032,0.8234,0.70294,0.80268,0.48853,1.2894,0.78593,1.24882,0.009802,0.009802,0.009802
5,1942.81,1.32258,0.84567,1.25228,0.83269,0.71546,0.81596,0.50753,1.25176,0.76097,1.21153,0.009736,0.009736,0.009736
6,2544.26,1.29292,0.82173,1.23687,0.83109,0.72025,0.81698,0.51128,1.23702,0.73509,1.19805,0.00967,0.00967,0.00967
7,2832.03,1.27246,0.80087,1.22544,0.84528,0.72131,0.82463,0.52155,1.21859,0.72332,1.19646,0.009604,0.009604,0.009604
8,3130.99,1.25694,0.78485,1.2157,0.84344,0.73605,0.83305,0.52421,1.22043,0.71917,1.19806,0.009538,0.009538,0.009538
9,3481.64,1.24091,0.76885,1.2069,0.8382,0.73681,0.83297,0.53315,1.1908,0.71285,1.17313,0.009472,0.009472,0.009472
10,3790.75,1.23116,0.7579,1.20064,0.85259,0.74184,0.83921,0.54078,1.17548,0.68716,1.16751,0.009406,0.009406,0.009406
11,4087.07,1.22325,0.75323,1.19517,0.85088,0.74295,0.84192,0.5455,1.16743,0.67603,1.16544,0.00934,0.00934,0.00934
12,5077.5,1.21327,0.74453,1.18812,0.8545,0.75158,0.8476,0.5509,1.16189,0.66971,1.15696,0.009274,0.009274,0.009274
13,5516.33,1.20324,0.73307,1.18199,0.85502,0.75308,0.84874,0.55406,1.15455,0.6609,1.1588,0.009208,0.009208,0.009208
14,6541.2,1.1951,0.72337,1.17524,0.85647,0.76036,0.85304,0.55835,1.14758,0.64935,1.14717,0.009142,0.009142,0.009142
15,6873.31,1.18688,0.72126,1.17454,0.86263,0.75483,0.85329,0.55676,1.14687,0.64392,1.14942,0.009076,0.009076,0.009076
16,7195.48,1.17883,0.71432,1.17034,0.86536,0.76284,0.85878,0.56534,1.13262,0.63839,1.14282,0.00901,0.00901,0.00901
17,7453.28,1.17987,0.71242,1.16876,0.86025,0.764,0.85772,0.56734,1.12629,0.64027,1.13392,0.008944,0.008944,0.008944
18,8190.72,1.1687,0.70307,1.16336,0.86278,0.76886,0.86074,0.56939,1.12531,0.62806,1.13434,0.008878,0.008878,0.008878
19,8506.55,1.16025,0.69826,1.15873,0.86275,0.77014,0.86356,0.57032,1.12973,0.62516,1.13718,0.008812,0.008812,0.008812
20,8968.39,1.16055,0.69854,1.15868,0.86329,0.7722,0.86327,0.57246,1.11912,0.61952,1.13599,0.008746,0.008746,0.008746
21,9256.2,1.15804,0.69368,1.15766,0.86559,0.77231,0.86452,0.57608,1.11093,0.61603,1.13027,0.00868,0.00868,0.00868
22,9534.34,1.15321,0.68872,1.15194,0.86779,0.77551,0.86627,0.57863,1.10714,0.60545,1.1262,0.008614,0.008614,0.008614
23,9766.11,1.14664,0.68544,1.15019,0.87151,0.77362,0.8676,0.58031,1.10388,0.60295,1.123,0.008548,0.008548,0.008548
24,10029.2,1.14056,0.68084,1.15032,0.86743,0.77862,0.86863,0.5815,1.10399,0.60268,1.12498,0.008482,0.008482,0.008482
25,10330.9,1.14168,0.67958,1.14676,0.86708,0.78091,0.87007,0.58437,1.0973,0.59915,1.12067,0.008416,0.008416,0.008416
26,10734.6,1.13989,0.67884,1.14964,0.86816,0.781,0.87104,0.58531,1.09422,0.59732,1.12277,0.00835,0.00835,0.00835
27,11003.3,1.13428,0.67084,1.14275,0.86849,0.78282,0.87121,0.58624,1.08994,0.59374,1.11673,0.008284,0.008284,0.008284
